official_title,study_first_posted_date,verification_date,start_date,start_month_year,nct_id,phase,last_known_status,study_type,enrollment,overall_status,facilitiesCount,multisite,funding,fundingComb,intervention_comb,interventionType,interventionTypeCombined,were_results_reported,pubCount,pubCountBool,diverse,diverseGroup,yearStart,numMissing,interventionDrugNonDrug,industryNonIndustry,raceSpecific
Steroids And Laser Trabeculoplasty (SALT) Trial: Effect of Anti-Inflammatory Treatment on the Efficacy of SLT,9/22/2009,7/31/2019,9/30/2009,Sep-09,NCT00981435,Phase 4,NA,Interventional,97,Completed,2,TRUE,Other,Other,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Studying the Effects of Antihypertensives on Individuals at Risk for Alzheimer's,9/21/2009,3/31/2017,4/30/2009,Apr-09,NCT00980785,Phase 4,NA,Interventional,14,Completed,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Randomized, Double-blind, Placebo-controlled Trial to Investigate the Effect of Grape Seed Extract Delivered in a Beverage on Blood Pressure in Individuals With Pre-hypertension.",9/18/2009,3/31/2018,11/15/2009,15-Nov-09,NCT00979732,Not Applicable,NA,Interventional,72,"Active, not recruiting",1,FALSE,Industry,Industry,"Dietary Supplement, Dietary Supplement",other,other,FALSE,3,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
"Clevidipine in Aneurysmal Subarachnoid Hemorrhage, A Pilot Study",9/17/2009,9/30/2009,9/30/2009,Sep-09,NCT00978822,Phase 2,Recruiting,Interventional,20,Unknown status,1,FALSE,Industry,Industry,Drug,Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Industry Sponsor,Non-Race Specific
"Vitamin D Deficiency, Renin Inhibitor Response, and Vitamin D Supplementation in Patients With Hypertension",9/11/2009,2/28/2018,8/31/2009,Aug-09,NCT00974922,Phase 4,NA,Interventional,40,Terminated,1,FALSE,Industry,Industry,"Drug, Dietary Supplement, Dietary Supplement",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"Phase 2, Randomized Clinical Trial of the Safety and Efficacy of Brain Tissue Oxygen Monitoring in the Management of Severe Traumatic Brain Injury.",9/10/2009,9/30/2019,10/31/2009,Oct-09,NCT00974259,Phase 2,NA,Interventional,122,Completed,10,TRUE,NIH,Public,"Device, Device",Device,Device,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effect of Treating Sleep Disorder Breathing Therapy in Patients With Resistant Hypertension,9/9/2009,1/31/2012,5/31/2009,May-09,NCT00973531,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,"Device, Device",Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Enhanced Prescription Drug Label to Improve Patient Understanding and Use,9/9/2009,9/30/2014,5/31/2009,May-09,NCT00973180,Not Applicable,NA,Interventional,850,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Lifestyle Modification and Blood Pressure Study,8/25/2009,2/28/2017,8/31/2009,Aug-09,NCT00964847,Phase 2,NA,Interventional,147,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,3,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Translating the Dietary Approaches to Stop Hypertension (DASH)Diet Into an Urban, African-American Community in Winston-Salem, North Carolina",8/25/2009,7/31/2018,1/31/2010,Jan-10,NCT00964483,Not Applicable,NA,Interventional,25,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,African American,Race-specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
An Evaluation of Single Dose UT-15C SR (Treprostinil Diethanolamine) Pharmacokinetics Following Repeated Dosing With the Proton Pump Inhibitor Esomeprazole in Healthy Adult Volunteers,8/20/2009,3/31/2010,9/30/2009,Sep-09,NCT00963027,Phase 1,NA,Interventional,30,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Effect of Different Meal Types on the Pharmacokinetics of a Single 1 mg Oral Dose of UT-15C (Treprostinil Diethanolamine) Sustained Release Tablets in Healthy Volunteers,8/20/2009,3/31/2010,9/30/2009,Sep-09,NCT00963001,Phase 1,NA,Interventional,32,Completed,1,FALSE,Industry,Industry,"Drug, Other",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Assessment of Inspiratory Breathing Devices to Improve Orthostatic Tolerance in Neurogenic Orthostatic Hypotension,8/20/2009,4/30/2019,12/31/2010,Dec-10,NCT00962884,Not Applicable,NA,Interventional,30,"Active, not recruiting",1,FALSE,Other,Other,"Device, Device",Device,Device,FALSE,3,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Calorie Restriction and Changes in Body Composition, Disease, Function, and Quality of Life in Older Adults",8/10/2009,8/31/2017,6/30/2010,Jun-10,NCT00955903,Phase 3,NA,Interventional,167,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Randomized, Double-blind, Placebo-controlled Cross-over Study to Investigate the Effect of GSK1014802 on Ambulatory Blood Pressure",8/10/2009,10/31/2017,7/31/2009,31-Jul-09,NCT00955396,Phase 1,NA,Interventional,60,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Role of EECP Therapy in Patients With Resistant Hypertension,8/6/2009,1/31/2012,5/31/2009,May-09,NCT00953797,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Clinical Proteomics and Protein Therapeutics in Human Hypertension (BNP in Human Hypertension - Phase 1),8/6/2009,10/31/2011,2/28/2009,Feb-09,NCT00953472,Phase 1,NA,Interventional,8,Terminated,1,FALSE,Other,Other,"Drug, Other",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Mechanism of the Anti-remodeling Activity of the Over-the-counter Dietary Supplement, Pycnogenol, on Age-dependent Process of Cardiac Fibrosis in Aged Hypertensive Subjects With Echocardiographic Evidence of Grade I/II Diastolic Dysfunction",8/6/2009,12/31/2013,7/31/2009,Jul-09,NCT00952627,Phase 2,NA,Interventional,9,Terminated,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Pilot Study to Evaluate Efficacy and Safety of Clevidipine in Neurosurgical Patients,8/4/2009,1/31/2015,7/31/2009,Jul-09,NCT00952081,Phase 4,NA,Interventional,22,Completed,1,FALSE,Industry,Industry,Drug,Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"A Randomized, Double-blind, Active-comparator, 8-week Forced-titration Study of the Efficacy and Safety of Olmesartan Medoxomil Versus Losartan Potassium in Hypertensive Subjects",7/30/2009,3/31/2011,8/31/2009,Aug-09,NCT00949884,Phase 4,NA,Interventional,941,Completed,20,TRUE,Industry,Industry,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Potassium Intake in Patients With Chronic Kidney Disease,7/30/2009,9/30/2012,7/31/2009,Jul-09,NCT00949585,Not Applicable,NA,Interventional,29,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NA,7/28/2009,9/30/2016,7/31/2010,Jul-10,NCT00947661,Phase 3,NA,Interventional,578,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,3,Drug Intervention,Industry Sponsor,Non-Race Specific
NA,7/24/2009,5/31/2016,11/30/2010,Nov-10,NCT00945958,Phase 3,NA,Interventional,161,Completed,1,FALSE,Industry,Industry,Drug,Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,3,Drug Intervention,Industry Sponsor,Non-Race Specific
"An 8-week Multicenter, Randomized, Double-blind, Active Controlled, Parallel Group, Forced Titration Study to Evaluate the Efficacy and Safety of Aliskiren/Amlodipine/HCTZ Compared to Aliskiren/Amlodipine in US Minority Patients With Stage 2 Hypertension",7/21/2009,5/31/2011,6/30/2009,Jun-09,NCT00942994,Phase 4,NA,Interventional,412,Completed,5,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Industry Sponsor,Non-Race Specific
Effects of the Dietary Approaches to Stop Hypertension(DASH) Sodium-restricted Diet on Ventriculovascular Function in Heart Failure With Preserved Systolic Function,7/15/2009,10/31/2019,7/31/2009,Jul-09,NCT00939640,Not Applicable,NA,Interventional,14,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,TRUE,11,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Latinos Using Cardio Health Actions to Reduce Risk (LUCHAR): Effect of Omega-3 Fatty Acids on Vascular Function and Inflammation,7/9/2009,9/30/2014,9/30/2009,Sep-09,NCT00935766,Phase 3,NA,Interventional,76,Terminated,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"Effect of Nurse-Based, Protocol-Driven, Case-Management Utilizing Home Telemonitoring and Home HbA1c Measurement on Diabetes and Blood Pressure Outcomes",7/9/2009,9/30/2011,6/30/2009,Jun-09,NCT00935441,Not Applicable,NA,Interventional,460,Completed,1,FALSE,U.S. Fed,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Collaborative Model to Improve BP Control and Minimize Racial Disparities-CCC,7/8/2009,7/31/2014,1/31/2010,Jan-10,NCT00935077,Phase 3,NA,Interventional,1441,Completed,28,TRUE,Other,Other,"Other, Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A 12-week Multicenter, Randomized, Double-blind, Parallel-group, Active-control Study to Evaluate the Antihypertensive Efficacy and Safety of Valsartan/Amlodipine-based Regimen Versus a Losartan-based Regimen in Patients With Stage 2 Systolic Hypertension",7/2/2009,3/31/2011,7/31/2009,Jul-09,NCT00931710,Phase 4,NA,Interventional,488,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"An 8 Week Randomized, Double-Blind, Parallel Group, Multi-Center, Active Controlled Study to Evaluate the Antihypertensive Efficacy and Safety of Aliskiren Administered in Combination With Valsartan Versus Valsartan Alone in Patients With Stage 2 Systolic Hypertension and Type 2 Diabetes Mellitus",6/25/2009,12/31/2012,5/31/2009,May-09,NCT00927394,Phase 4,NA,Interventional,1143,Completed,4,TRUE,Industry,Industry,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"Multi-Center, Double-Blind, Double-Dummy, Randomized, Parallel-Group Study to Evaluate Cycle Control, Bleeding Pattern, Blood Pressure, Lipid and Carbohydrate Metabolism of the Transdermal Contraceptive Patch (Material no. 80876395 / 2.1 mg Gestodene and 0.55 mg Ethinylestradiol) Versus an Oral Comparator Containing 20 Âµg Ethinylestradiol and 100 Âµg Levonorgestrel in a 21-day Regimen for 7 Cycles in 400 Women",6/16/2009,1/31/2014,6/30/2009,Jun-09,NCT00920985,Phase 3,NA,Interventional,346,Completed,28,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Mechanisms of the Relaxation Response in Elderly Hypertensives,6/4/2009,2/28/2010,3/31/2009,Mar-09,NCT00913991,Phase 1,NA,Interventional,69,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Interactive Spaced Education to Optimize Hypertension Management,5/19/2009,2/28/2019,2/28/2010,Feb-10,NCT00904007,Not Applicable,NA,Interventional,111,Completed,1,FALSE,U.S. Fed,Public,Other,other,other,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Personalized Physician Learning Intervention to Improve Hypertension Care,5/15/2009,6/30/2014,3/31/2010,Mar-10,NCT00903071,Not Applicable,NA,Interventional,130,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Double-blind, Randomized, Placebo-controlled, Sequential Group Pilot Study to Assess Safety, Tolerability, and Effectiveness of TC-5214 as Augmentation Therapy in Patients With Refractory Hypertension",5/12/2009,9/30/2013,5/31/2009,May-09,NCT00899977,Phase 1/Phase 2,NA,Interventional,1,Terminated,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"The Relationship Between Serine Threonine Kinase 39 (STK39) Genotypes, Salt Sensitivity, Thiazide Diuretics-induced Blood Pressure Response",5/11/2009,5/31/2018,10/31/2009,Oct-09,NCT00896389,Phase 4,NA,Interventional,124,Completed,1,FALSE,NIH,Public,"Procedure, Drug",Procedure,Procedure,TRUE,3,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Contingency Management for Initiating Smoking Abstinence in Patients With Hypertension,4/9/2009,4/30/2017,4/30/2009,Apr-09,NCT00879177,Phase 4,NA,Interventional,203,Completed,1,FALSE,NIH,Public,"Drug, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Phase 4, Placebo Controlled, Single-blind, Cross-over Safety Study to Evaluate the Effect of Optison on Pulmonary Artery Systolic Pressure (PASP) and Pulmonary Vascular Resistance (PVR) as Measured by Right Heart Catheterization",4/9/2009,7/31/2012,3/31/2009,Mar-09,NCT00878878,Phase 4,NA,Interventional,30,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Early Blood Pressure Management in Extremely Preterm Infants Feasibility Pilot Study,4/2/2009,5/31/2017,7/31/2009,Jul-09,NCT00874393,Phase 1,NA,Interventional,10,Completed,17,TRUE,NIH,Public,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,1,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effect of a PPAR Alpha Agonist on CYP Monooxygenase Activity in Humans,3/31/2009,6/30/2013,9/30/2009,Sep-09,NCT00872599,Phase 4,NA,Interventional,75,Completed,1,FALSE,NIH,Public,"Drug, Drug",Drug,Pharmaceutical,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"DHA, Inflammation, and Insulin Sensitivity",3/19/2009,7/31/2009,4/30/2009,Apr-09,NCT00865683,Phase 1,Recruiting,Interventional,90,Unknown status,1,FALSE,NIH,Public,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"An 8-week Multicenter, Randomized, Double-blind, Active Control, Parallel Group Study to Evaluate the Efficacy and Safety of Aliskiren Administered in Combination With Amlodipine (150/5 mg, 300/10 mg) Versus Amlodipine Alone (5 mg, 10 mg) in African American Patients With Stage 2 Hypertension",3/2/2009,4/30/2012,2/28/2009,Feb-09,NCT00853957,Phase 4,NA,Interventional,443,Completed,9,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,African American,Race-specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Marinobufagenin as a Target for DIGIBIND in Hypertensive Patients With End-stage Renal Disease,2/27/2009,12/31/2009,4/30/2009,Apr-09,NCT00852787,Phase 4,"Active, not recruiting",Interventional,30,Unknown status,1,FALSE,NIH,Public,"Drug, Drug",Drug,Pharmaceutical,FALSE,3,TRUE,Non-race specific,Non-race specific,2009,0,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Comparative Effects of Nebivolol Versus Metoprolol on 24-hour Blood Pressures and Basal Metabolic Rate: An Open-Label Study,2/24/2009,3/31/2013,1/31/2009,Jan-09,NCT00849810,Not Applicable,NA,Interventional,1,Terminated,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Phase I Trial of Inhaled Nitric Oxide to Treat Acute Pulmonary Embolism,2/20/2009,6/30/2011,2/28/2009,Feb-09,NCT00848731,Phase 1,NA,Interventional,25,Completed,1,FALSE,Other,Other,Drug,Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Exploratory, 28-Day Study to Examine the Effects of AR9281 on Blood Pressure and Glucose Tolerance in Patients With Mild to Moderate Hypertension and Impaired Glucose Tolerance",2/19/2009,11/30/2009,1/31/2009,Jan-09,NCT00847899,Phase 2,NA,Interventional,150,Completed,30,TRUE,Industry,Industry,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Safety and Efficacy of L-NAME and Midodrine to Increase MAP in Persons With Tetraplegia,2/3/2009,3/31/2014,5/31/2010,May-10,NCT00835224,Phase 2,NA,Interventional,34,Completed,1,FALSE,U.S. Fed,Public,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effects of Nebivolol on Aortic Impedance Parameters in Type 2 Diabetics,1/27/2009,1/31/2016,1/31/2009,Jan-09,NCT00829296,Phase 2/Phase 3,NA,Interventional,70,Completed,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"Blood Pressure, Endothelial Cell Dysfunction, and Outcomes in Dialysis Patients",1/23/2009,1/31/2014,6/30/2009,Jun-09,NCT00827775,Phase 4,NA,Interventional,59,Completed,3,TRUE,NIH,Public,Drug,Drug,Pharmaceutical,FALSE,3,TRUE,Non-race specific,Non-race specific,2009,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Flavanol-Rich Cocoa, Vascular Responses and Mechanisms",1/21/2009,4/30/2014,1/31/2009,Jan-09,NCT00825695,Not Applicable,NA,Interventional,60,Completed,1,FALSE,Industry,Industry,Dietary Supplement,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
"Pilot Trial To Study Blood Pressure, Weight and Hydration State in Patients Undergoing A Treatment Regimen of Daily Ultrafiltration and Twice-weekly Hemodialysis As Compared to Conventional Three Times Per Week Hemodialysis",1/21/2009,4/30/2014,7/31/2009,Jul-09,NCT00825318,Not Applicable,NA,Interventional,13,Completed,3,TRUE,Other,Other,Procedure,Procedure,Procedure,TRUE,1,TRUE,Non-race specific,Non-race specific,2009,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Investigation of Reduction of Blood Pressure and Metabolic Rate in Obese Hypertensive Patients Using Eplerenone: Implications for Treatment of Hypertension and Heart Failure,1/19/2009,3/31/2014,1/31/2009,Jan-09,NCT00825188,Not Applicable,NA,Interventional,10,Terminated,1,FALSE,Other,Other,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effects of Ezetimibe/Simvastatin Versus Simvastatin Alone on Platelet and Inflammatory Biomarkers in Patients With the Metabolic Syndrome,1/9/2009,1/31/2020,1/31/2009,Jan-09,NCT00819403,Phase 4,NA,Interventional,15,Completed,3,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2009,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Multi-Center Study to Assess the Efficacy, Safety, and Pharmacokinetics of KBP-5074 in Patients With Moderate-to-Severe Chronic Kidney Disease and Uncontrolled Hypertension",7/2/2018,1/31/2020,4/25/2018,25-Apr-18,NCT03574363,Phase 2,NA,Interventional,240,Recruiting,2,TRUE,Industry,Industry,Drug,Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2018,2,Drug Intervention,Industry Sponsor,Non-Race Specific
"A Pivotal, Multicenter, Blinded, Sham Procedure-Controlled Trial of Renal Denervation by the Peregrine Systemâ„¢ Kit, in Subjects With Hypertension",9/22/2016,1/31/2020,7/22/2019,22-Jul-19,NCT02910414,Phase 3,NA,Interventional,300,Recruiting,3,TRUE,Industry,Industry,"Drug, Device",Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2016,2,Drug Intervention,Industry Sponsor,Non-Race Specific
A Mobile Personal Health Record for Behavioral Health Homes,7/1/2013,1/31/2020,11/30/2014,Nov-14,NCT01890226,Not Applicable,NA,Interventional,311,Completed,1,FALSE,NIH,Public,Behavioral,Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2013,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Pilot for a Community Pharmacy Service Model: Impact of a Pharmacist Monitored Patient Blood Pressure Readings,10/27/2017,1/31/2020,1/15/2018,15-Jan-18,NCT03323840,Not Applicable,NA,Interventional,50,Recruiting,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2017,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Mechanism(s) Underlying Hypotensive Response to ARB/NEP Inhibition - Aim 1,11/13/2018,1/31/2020,11/15/2018,15-Nov-18,NCT03738878,Phase 4,NA,Interventional,32,Recruiting,1,FALSE,Other,Other,"Drug, Drug, Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2018,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Remote Blood Pressure Monitoring in the Postpartum (PP) Period,11/2/2018,2/29/2020,11/9/2018,9-Nov-18,NCT03728790,Not Applicable,NA,Interventional,213,"Active, not recruiting",1,FALSE,Industry,Industry,Device,Device,Device,FALSE,20,TRUE,Non-race specific,Non-race specific,2018,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Spinal Cord Stimulation to Inhibit Afferent Feedback During Exercise in Heart Failure,1/20/2016,2/29/2020,1/31/2016,Jan-16,NCT02659202,Not Applicable,NA,Interventional,40,Recruiting,1,FALSE,Other,Other,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2016,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Boston Scientific Clinical Trial of Renal Denervation Using the Vessix Reduceâ„¢ Catheter and Vessixâ„¢ Generator for the Treatment of HyperTensioN: REINFORCE,3/19/2015,1/31/2020,4/30/2015,Apr-15,NCT02392351,Not Applicable,NA,Interventional,51,Completed,12,TRUE,Industry,Industry,"Device, Device",Device,Device,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Exercise and Intensive Vascular Risk Reduction in Preventing Dementia,9/26/2016,2/29/2020,9/30/2016,Sep-16,NCT02913664,Phase 2/Phase 3,NA,Interventional,513,"Active, not recruiting",4,TRUE,Other,Other,"Drug, Behavioral, Other, Behavioral, Drug",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2016,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Hypertension, Intracranial Pulsatility and Brain Amyloid-beta Accumulation in Older Adults (HIPAC Trial)",11/27/2017,10/31/2019,4/10/2018,10-Apr-18,NCT03354143,Phase 2,NA,Interventional,120,Recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2017,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Skin Surface Pressures Under Blood-Draw Tourniquets,6/14/2017,2/29/2020,12/31/2016,Dec-16,NCT03187041,Not Applicable,NA,Interventional,10,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,2,TRUE,Non-race specific,Non-race specific,2017,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Metabolic Effects of Angiotensin-(1-7),1/5/2016,2/29/2020,2/29/2016,Feb-16,NCT02646475,Phase 1,NA,Interventional,19,Recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2016,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Blood Pressure Lowering Effects of Angiotensin-(1-7) in Primary Autonomic Failure,10/29/2015,2/29/2020,2/29/2016,Feb-16,NCT02591173,Early Phase 1,NA,Interventional,22,Recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
